Name,City,Material,Floors,Height,CurrentStatus,CompletedYear,StartYear,YearsToBuild
Jayne Building,Philadelphia,masonry,10,39.31,demolished,1850,1849,1
New York Tribune Building,New York City,masonry,18,79.25,demolished,1875,1873,2
The Rookery,Chicago,steel,12,55.02,completed,1888,1885,3
Auditorium Building,Chicago,masonry,17,72.63,completed,1889,1887,2
World Building,New York City,steel,20,94.18,demolished,1890,1889,1
Masonic Temple,Chicago,steel,21,92.05,demolished,1892,1891,1
Monadnock Building,Chicago,masonry,17,60.05,completed,1893,1889,4
Manhattan Life Insurance Building,New York City,steel,18,106.07,demolished,1894,1893,1
Reliance Building,Chicago,steel,15,61.47,completed,1895,1894,1
D. S. Morgan Building,Buffalo,steel,12,67.36,demolished,1895,1894,1
Guaranty Building,Buffalo,steel,13,51,completed,1896,1895,1
Bank of Tokyo Building,New York City,steel,26,103,completed,1896,1894,2
Gillender Building,New York City,steel,19,83,demolished,1897,1896,1
Ferry Building,San Francisco,steel,12,74.68,completed,1898,1896,2
St. Paul Building,New York City,steel,26,96,demolished,1898,1895,3
Bayard-Condict Building,New York City,steel,13,49.38,completed,1899,1897,2
6 North Michigan,Chicago,steel,22,85.95,completed,1899,1897,2
Park Row Building,New York City,steel,30,119.18,completed,1899,1896,3
Macy's Store,New York City,steel,11,60.96,completed,1902,1901,1
Farmers Bank Building,Pittsburgh,steel,25,105,demolished,1902,1900,2
The Bank Center,Pittsburgh,steel,16,72.5,completed,1903,1902,1
43 Exchange Place,New York City,steel,25,99.67,completed,1903,1902,1
Wall Street Exchange Building,New York City,steel,25,103.9,completed,1903,1902,1
Hanover National Bank Building,New York City,steel,22,117.35,demolished,1903,1901,2
Santa Fe Building,Chicago,steel,17,78.94,completed,1904,1903,1
Trinity Building,New York City,steel,22,106.68,completed,1905,1904,1
60 Wall Street,New York City,steel,26,107.29,demolished,1905,1903,2
Benedum-Trees Building,Pittsburgh,steel,19,76.8,completed,1906,1905,1
Fisher Building,Chicago,steel,20,83.82,completed,1906,1895,11
100 5th Avenue,New York City,steel,16,73.76,completed,1907,1905,2
United States Realty Building,New York City,steel,22,97,completed,1907,1906,1
City Investing Building,New York City,steel,33,148.29,demolished,1908,1906,2
Singer Building,New York City,steel,47,186.57,demolished,1908,1906,2
Knickerbocker Trust Building,New York City,steel,27,116,demolished,1909,1907,2
Metropolitan Life Tower,New York City,steel,50,213.36,completed,1909,1907,2
Boston Building,Salt Lake City,steel,11,50,completed,1910,1908,2
Renaissance Blackstone,Chicago,steel,21,88.4,completed,1910,1908,2
Henry W. Oliver Building,Pittsburgh,steel,25,105.8,completed,1910,1908,2
Whitehall Building Annex,New York City,steel,31,129.24,completed,1910,1909,1
Alico Building,Waco,steel,21,85.95,completed,1911,1910,1
Emerson Tower,Baltimore,steel,15,88.1,completed,1911,1907,4
Underwood Building,New York City,steel,18,69.5,completed,1912,1911,1
102 5th Avenue,New York City,steel,19,82.91,completed,1912,1910,2
McCormick Building,Chicago,steel,20,95.7,completed,1912,1908,4
Tower Building,Baltimore,steel,16,100.59,demolished,1912,1910,2
14 Wall,New York City,steel,29,164.59,completed,1912,1910,2
Consumers Building,Chicago,steel,22,88.7,completed,1913,1912,1
Chrysler House,Detroit,steel,23,98.6,completed,1913,1910,3
Woolworth Building,New York City,steel,57,241.4,completed,1913,1910,3
Michigan Boulevard Building,Chicago,steel,21,82.3,completed,1914,1913,1
Macy's at State Street,Chicago,steel,13,83,completed,1914,1901,13
Smith Tower,Seattle,steel,38,140.82,completed,1914,1911,3
Municipal Building,New York City,steel,34,176.79,completed,1914,1909,5
Soo Line Building,Minneapolis,steel,20,79.58,completed,1915,1914,1
Marriott's Custom House,Boston,steel,32,151.18,completed,1915,1913,2
Equitable Building,New York City,steel,38,169.16,completed,1915,1913,2
Union Trust Building,Pittsburgh,steel,15,72.24,completed,1916,1915,1
David Whitney Building,Detroit,steel,19,82.9,completed,1916,1915,1
Omni William Penn Hotel,Pittsburgh,steel,26,92.95,completed,1916,1914,2
5 Penn Plaza,New York City,steel,24,104.55,completed,1916,1915,1
Bush Tower,New York City,steel,30,131.68,completed,1917,1916,1
Ten Eyck Hotel,Albany,steel,17,62.18,demolished,1918,1917,1
195 Broadway,New York City,steel,29,128.63,completed,1922,1913,9
Wrigley Building,Chicago,steel,27,133.51,completed,1922,1920,2
Tribune Tower,Oakland,steel,20,94.49,completed,1923,1906,17
London Guarantee Building,Chicago,steel,22,97.02,completed,1923,1922,1
Pershing Square Building,New York City,steel,30,110.64,completed,1923,1922,1
1312-1314 Chestnut Street,Philadelphia,steel,15,70.71,completed,1924,1923,1
Huntington Bank Building,Cleveland,steel,21,88.09,completed,1924,1921,3
AT&T Center,Milwaukee,steel,19,95.4,completed,1924,1918,6
The Bryant Park Hotel,New York City,steel,23,103,completed,1924,1923,1
Westin Book-Cadillac Detroit,Detroit,steel,31,106.4,completed,1924,1923,1
The Allerton Hotel Chicago,Chicago,steel,25,109.73,completed,1924,1923,1
Metropolitan Tower,Chicago,steel,37,144.78,completed,1924,1923,1
26 Broadway,New York City,steel,31,158.5,completed,1924,1922,2
Chicago Temple Building,Chicago,steel,23,173.13,completed,1924,1922,2
Buhl Building,Detroit,steel,29,111.6,completed,1925,1924,1
140 New Montgomery Street,San Francisco,steel,26,132.7,completed,1925,1924,1
Tribune Tower,Chicago,steel,34,141.12,completed,1925,1922,3
270 West 39th Street,New York City,steel,20,71.32,completed,1926,1925,1
Ward Memorial Building,Chicago,steel,20,85,completed,1926,1925,1
200 Madison Avenue,New York City,steel,25,117.35,completed,1926,1923,3
American Furniture Mart,Chicago,concrete/steel,29,144.48,completed,1926,1922,4
Book Tower,Detroit,steel,38,144.78,completed,1926,1916,10
Barclay-Vesey Building,New York City,steel,32,151.79,completed,1926,1923,3
Ritz Hotel Tower,New York City,steel,41,164.9,completed,1926,1925,1
McKay Tower,Grand Rapids,steel,18,78.9,completed,1927,1926,1
315 West 36th Street,New York City,steel,16,79.55,completed,1927,1926,1
Chicago Hilton & Towers,Chicago,steel,29,103.63,completed,1927,1925,2
Ohio Bell Huron Building,Cleveland,steel,22,111.25,completed,1927,1925,2
Fred F. French Building,New York City,steel,38,130.76,completed,1927,1926,1
50 Broadway,New York City,steel,37,136.55,completed,1927,1926,1
Roanoke Building,Chicago,steel,37,137.77,completed,1927,1913,14
Paramount Building,New York City,steel,31,138.68,completed,1927,1926,1
Bankers Building,Chicago,steel,41,145.09,completed,1927,1926,1
35 East Wacker Drive,Chicago,steel,40,159.41,completed,1927,1925,2
Pittsfield Building,Chicago,steel,38,167.97,completed,1927,1926,1
Leveque Tower,Columbus,steel,47,169.3,completed,1927,1924,3
Cudahy Tower,Milwaukee,steel,16,68.4,completed,1928,1927,1
Wacker Tower,Chicago,steel,17,72.09,completed,1928,1927,1
Law and Finance Building,Pittsburgh,steel,21,76.2,completed,1928,1927,1
Plummer Building,Rochester,steel,19,90.7,completed,1928,1926,2
Pennsylvania Power & Light Building,,steel,24,98.02,completed,1928,1926,2
Miami-Dade County Courthouse,Miami,concrete,28,109.7,completed,1928,1925,3
Broderick Tower Lofts,Detroit,steel,35,112.6,completed,1928,1926,2
Three AT&T Plaza,Dallas,steel,24,113.39,completed,1928,1927,1
333 North Michigan,Chicago,steel,34,120.7,completed,1928,1927,1
ITT Building,New York City,steel,35,131.98,completed,1928,1927,1
Harriman Building,New York City,steel,37,134.72,completed,1928,1926,2
Fisher Building,Detroit,steel,30,135.47,completed,1928,1927,1
City Hall,Los Angeles,steel,27,138.38,completed,1928,1926,2
Consolidated Gas Building,New York City,steel,24,145.7,completed,1928,1924,4
20 Pine,New York City,steel,38,151,completed,1928,1926,2
Mather Tower,Chicago,steel,38,158.9,completed,1928,1926,2
Penobscot Building,Detroit,steel,47,173.26,completed,1928,1927,1
New York Life Building,New York City,steel,33,187.5,completed,1928,1926,2
Terminal Tower,Cleveland,steel,52,215.8,completed,1928,1923,5
Kanawha Valley Building,Charleston,steel,20,80.75,completed,1929,1928,1
The Powhatan,Chicago,concrete,22,82.22,completed,1929,1927,2
Riverside Plaza,Chicago,steel,26,92.05,completed,1929,1928,1
Rand Tower,Minneapolis,steel,27,94.68,completed,1929,1928,1
Reynolds Building,Winston-Salem,steel,21,95.72,completed,1929,1928,1
Seattle Tower,Seattle,steel,27,96.9,completed,1929,1927,2
200 Carondelet,New Orleans,steel,23,100.6,completed,1929,1928,1
Shell Building,San Francisco,steel,29,115.22,completed,1929,1928,1
Tower Life Building,San Antonio,steel,30,123.14,completed,1929,1927,2
David Stott Building,Detroit,steel,32,133.08,completed,1929,1928,1
W Minneapolis - The Foshay,Minneapolis,steel,32,136.55,completed,1929,1926,3
Hotel InterContinental,Chicago,steel,42,143.56,completed,1929,1927,2
Koppers Building,Pittsburgh,steel,34,144.78,completed,1929,1927,2
Fuller Building,New York City,steel,42,150,completed,1929,1928,1
Guardian Building,Detroit,steel,40,151.03,completed,1929,1928,1
Carbide & Carbon Building,Chicago,steel,37,153.32,completed,1929,1928,1
One Hanson Place,New York City,steel,42,156.06,completed,1929,1927,2
Civic Opera Building,Chicago,steel,45,169.17,completed,1929,1927,2
Palmolive Building,Chicago,steel,37,172.21,completed,1929,1927,2
Mercantile Building,New York City,steel,48,192.6,completed,1929,1929,0
Chanin Building,New York City,steel,56,197.8,completed,1929,1927,2
Plaza Hotel,El Paso,concrete,19,72.85,completed,1930,1929,1
Washington Athletic Club,Seattle,steel,22,75.6,completed,1930,1928,2
Wisconsin Gas Building,Milwaukee,steel,20,76.2,completed,1930,1929,1
Continental Life Building,St. Louis,steel,22,87.1,completed,1930,1929,1
Merchandise Mart,Chicago,steel,25,103.63,completed,1930,1928,2
First National Building,Detroit,steel,26,103.9,completed,1930,1921,9
Sterick Building,Memphis,steel,29,111.25,completed,1930,1928,2
Claridge Tower at Bally`s,Atlantic City,steel,23,112.78,completed,1930,1929,1
Western Union Building,New York City,steel,24,113,completed,1930,1928,2
Alfred E. Smith State Office Building,Albany,steel,34,118.26,completed,1930,1927,3
1441 Broadway,New York City,steel,33,122.2,completed,1930,1928,2
Savoy-Plaza Hotel,New York City,steel,33,135.94,demolished,1930,1927,3
Eleven80,Newark,steel,35,136.6,completed,1930,1929,1
Trump Parc Condominiums,New York City,steel,36,139,completed,1930,1929,1
Daily News Building,New York City,steel,36,145.09,completed,1930,1928,2
33 North LaSalle,Chicago,steel,38,146,completed,1930,1928,2
Grant Building,Pittsburgh,steel,40,147.83,completed,1930,1927,3
LaSalle-Wacker Building,Chicago,steel,41,156.06,completed,1930,1929,1
Millennium Towers North,New York City,steel,44,156.06,completed,1930,1928,2
The Downtown Club,New York City,steel,39,157.89,completed,1930,1929,1
One North LaSalle Street,Chicago,steel,48,161.55,completed,1930,1929,1
Chicago Board of Trade,Chicago,steel,44,184.41,completed,1930,1929,1
The Trump Building,New York City,steel,71,282.55,completed,1930,1929,1
Chrysler Building,New York City,steel,77,318.9,completed,1930,1928,2
Boji Tower,Lansing,steel,23,90.5,completed,1931,1929,2
Park Plaza Apartments,St. Louis,steel,27,95.5,completed,1931,1929,2
Bryant Building,Kansas City,steel,26,96.9,completed,1931,1929,2
FirstMerit Tower,Akron,steel,27,100.59,completed,1931,1929,2
Federal Building & J.W. McCormack Post,Boston,steel,22,105.2,completed,1931,1929,2
The Majestic,New York City,steel,29,105.46,completed,1931,1930,1
Camden City Hall,Camden,steel,18,113.08,completed,1931,1929,2
Buffalo City Hall,Buffalo,steel,32,115.22,completed,1931,1929,2
1410 Broadway,New York City,steel,35,124.36,completed,1931,1930,1
First National Bank Building,St. Paul,steel,32,127.1,completed,1931,1929,2
80 Broad Street,New York City,steel,36,127.4,completed,1931,1930,1
The Carlyle,New York City,steel,38,129.85,completed,1931,1930,1
745 5th Avenue,New York City,steel,34,132.59,completed,1931,1929,2
Daily Commerce Building,New York City,steel,38,135,completed,1931,1930,1
1400 Broadway,New York City,steel,35,135.64,completed,1931,1930,1
Greenwich Club Residences,New York City,steel,37,135.94,completed,1931,1929,2
909 Walnut,Kansas City,steel,35,138.3,completed,1931,1930,1
National Newark Building,Newark,steel,34,141.73,completed,1931,1930,1
Kansas City Power & Light Building,Kansas City,steel,34,146.61,completed,1931,1930,1
McGraw-Hill Building,New York City,steel,33,147.83,completed,1931,1930,1
Johns-Manville Building,New York City,steel,43,153.32,completed,1931,1930,1
Continental Building,New York City,steel,42,155.76,completed,1931,1930,1
Newsweek Building,New York City,steel,42,158,completed,1931,1930,1
Carew Tower,Cincinnati,steel,49,175,completed,1931,1929,2
Waldorf Astoria New York,New York City,steel,47,190.5,completed,1931,1930,1
570 Lexington Avenue,New York City,steel,50,196,completed,1931,1929,2
500 Fifth Avenue,New York City,steel,59,212.45,completed,1931,1930,1
Twenty Exchange,New York City,steel,57,225.86,completed,1931,1929,2
Empire State Building,New York City,steel,102,381,completed,1931,1930,1
New York Hospital Cornell Medical Center,New York City,steel,27,114.61,completed,1932,1930,2
Nebraska State Capitol,Lincoln (NE),steel,22,121.21,completed,1932,1922,10
CenturyLink Building,Minneapolis,steel,26,128.3,completed,1932,1930,2
Louisiana State Capitol,Baton Rouge,steel,34,140.21,completed,1932,1931,1
One South Broad,Philadelphia,steel,28,144.37,completed,1932,1930,2
Loews Philadelphia Hotel,Philadelphia,steel,36,149.96,completed,1932,1929,3
30 Broad Street,New York City,steel,48,171,completed,1932,1931,1
Gulf Tower,Pittsburgh,steel,44,177.4,completed,1932,1930,2
One Wall Street,New York City,steel,50,199.34,completed,1932,1929,3
70 Pine,New York City,steel,67,290.17,completed,1932,1930,2
2 Wall Street,New York City,steel,22,100.6,completed,1933,1932,1
Comcast Building,New York City,steel,70,259.08,completed,1933,1931,2
North Dakota State Capitol,Bismarck,steel,19,73.76,completed,1934,1932,2
LaSalle National Bank,Chicago,steel,45,163.07,completed,1934,1931,3
International Building,New York City,steel,41,156.06,completed,1935,1933,2
Cathedral of Learning,Pittsburgh,steel,42,163.07,completed,1936,1926,10
Thurgood Marshall U.S. Court House,New York City,steel,37,179.83,completed,1936,1932,4
University of Texas Tower,Austin,steel,29,93.6,completed,1937,1935,2
City Hall,Kansas City,steel,30,135,completed,1937,1935,2
One Rockefeller Plaza,New York City,steel,34,149,completed,1937,1936,1
Medical Center of Louisiana Charity Hospital,New Orleans,steel,20,85,completed,1939,1937,2
Suffolk County Courthouse,Boston,steel,19,100.6,completed,1939,1936,3
10 Rockefeller Plaza,New York City,steel,17,69.5,completed,1940,1939,1
Time Warner Building,New York City,steel,33,129.24,completed,1947,1946,1
Crown Plaza Cincinnati,Cincinnati,steel,19,82.91,completed,1949,1947,2
1001 McKinney Bldg.,Houston,steel,22,86.87,completed,1949,1947,2
100 Park Avenue,New York City,steel,36,135.03,completed,1949,1948,1
Metropolitan Life North Building,New York City,steel,31,137.47,completed,1950,1931,19
860 North Lake Shore Drive,Chicago,steel,26,82.3,completed,1951,1949,2
880 North Lake Shore Drive,Chicago,steel,26,82.3,completed,1951,1949,2
Hippodrome Building,New York City,steel,19,87.17,completed,1952,1951,1
Lever House,New York City,steel,21,93.57,completed,1952,1950,2
Regional Enterprise Tower,Pittsburgh,steel,30,124.97,completed,1953,1951,2
United Nations Secretariat Building,New York City,steel,39,154.3,completed,1953,1947,6
Metro Tower,Lubbock,steel,20,83.52,completed,1955,1954,1
Mayo Building,Rochester,composite,20,90,completed,1955,1952,3
One Prudential Plaza,Chicago,steel,41,183.19,completed,1955,1952,3
Price Tower Arts Center,Bartlesville,concrete,19,58.22,completed,1956,1953,3
Capitol Records Building,Los Angeles,steel,13,67,completed,1956,1954,2
Commonwealth Promenade I,Chicago,concrete/steel,27,77.12,completed,1956,1953,3
Commonwealth Promenade II,Chicago,concrete/steel,27,77.12,completed,1956,1953,3
20 Broad Street,New York City,steel,23,118.87,completed,1956,1955,1
Landmark Tower,Fort Worth,steel,30,115.83,demolished,1957,1952,5
1065 Avenue of the Americas,New York City,steel,38,137.47,completed,1957,1955,2
666 5th Avenue,New York City,steel,39,147.22,completed,1957,1956,1
55 Public Square,Cleveland,concrete/steel,22,91.44,completed,1958,1956,2
Wilco Building,Midland,steel,22,93.57,completed,1958,1956,2
Inland Steel Building,Chicago,steel,19,101.3,completed,1958,1956,2
Seagram Building,New York City,steel,38,156.97,completed,1958,1956,2
Hercules Tower,Wilmington,steel,22,87.48,demolished,1960,1958,2
Harris Bank Addition I,Chicago,steel,23,98.2,completed,1960,1957,3
1550 North Lake Shore Drive Apartments,Chicago,concrete,34,103,completed,1960,1958,2
Canadian Pacific Plaza,Minneapolis,steel,28,114.76,completed,1960,1958,2
80 Pine Street,New York City,steel,40,151.5,completed,1960,1957,3
1285 Avenue of the Americas,New York City,steel,42,164.6,completed,1960,1959,1
JPMorgan Chase Tower,New York City,steel,52,215.5,completed,1960,1957,3
Hartford Plaza North,Chicago,concrete,20,74.37,completed,1961,1959,2
Transunion Building,Chicago,concrete,24,101.8,completed,1961,1959,2
One City Centre,Houston,steel,32,125,completed,1961,1959,2
Citibank Building,New York City,steel,41,159.72,completed,1961,1959,2
28 Liberty,New York City,steel,60,247.81,completed,1961,1957,4
Hollywood Towers North,Chicago,concrete,29,82.3,completed,1962,1961,1
Hollywood Towers South,Chicago,concrete,29,82.3,completed,1962,1961,1
CNA Plaza North,Chicago,steel,24,101.5,completed,1962,1961,1
City-County Building,Indianapolis,steel,28,113.46,completed,1962,1960,2
60 Broad Street,New York City,steel,39,153.32,completed,1962,1960,2
Kemper Building,Chicago,steel,41,159.11,completed,1962,1960,2
Continental Can Building,New York City,steel,39,169.78,completed,1962,1959,3
Mercy Medical Center Inpatient Tower,Baltimore,steel,20,84,completed,1963,1958,5
Riley Towers I,Indianapolis,concrete,30,89.92,completed,1963,1962,1
Riley Towers II,Indianapolis,concrete,30,89.92,completed,1963,1962,1
Michigan Terrace Condominiums,Chicago,concrete,33,100,completed,1963,1961,2
Outer Drive East,Chicago,concrete,36,115.22,completed,1963,1962,1
1290 Avenue of the Americas,New York City,steel,43,174.04,completed,1963,1961,2
277 Park Avenue,New York City,steel,50,209.4,completed,1963,1958,5
MetLife Building,New York City,steel,59,246.28,completed,1963,1960,3
Phoenix Mutual Life Insurance Building,Hartford,steel,14,64.62,completed,1964,1962,2
Cecil and Ida Green Center for Earth Sciences,Cambridge,concrete,21,84.43,completed,1964,1962,2
Four Penn Center,Philadelphia,steel,22,85.04,completed,1964,1963,1
Society Hill Towers I,Philadelphia,concrete,31,94.18,completed,1964,1961,3
Society Hill Towers II,Philadelphia,concrete,31,94.18,completed,1964,1961,3
Society Hill Towers III,Philadelphia,concrete,31,94.18,completed,1964,1961,3
Mayfair Towers,New York City,steel,36,101.19,completed,1964,1963,1
1st Tennessee Bank Building,Memphis,steel,25,101.2,completed,1964,1961,3
Everett McKinley Dirksen United States Courthouse,Chicago,steel,30,116.74,completed,1964,1959,5
777 North Michigan,Chicago,concrete,38,121.92,completed,1964,1963,1
Cook County Administration Building,Chicago,concrete,35,144.78,completed,1964,1962,2
Tower at Erieview,Cleveland,steel,40,161.24,completed,1964,1963,1
330 Madison Avenue,New York City,steel,41,169.17,completed,1964,1963,1
Marina City I,Chicago,concrete,61,171.4,completed,1964,1960,4
Marina City II,Chicago,concrete,61,171.4,completed,1964,1960,4
Pearson on the Park,Chicago,concrete,27,80,completed,1965,1963,2
Horizon House,Chicago,concrete,30,86.7,completed,1965,1964,1
South Shore Beach Apartments,Chicago,concrete,34,100.3,completed,1965,1964,1
ADA Building,Chicago,composite,23,100.59,completed,1965,1963,2
1001 Woodward,Detroit,steel,23,103,completed,1965,1963,2
Phoenix Corporate Center,Phoenix,concrete,26,103.9,completed,1965,1962,3
Equitable Building,Chicago,steel,35,139.29,completed,1965,1963,2
CBS Building,New York City,concrete,38,149.66,completed,1965,1961,4
Vehicle Assembly Building,Cape Canaveral,steel,40,160.3,completed,1965,1962,3
Richard J. Daley Center,Chicago,steel,31,197.51,completed,1965,1963,2
River Towers A,Minneapolis,concrete,16,53.3,completed,1966,1964,2
River Towers B,Minneapolis,concrete,27,82.1,completed,1966,1964,2
136 E South Temple,Salt Lake City,concrete,25,83.52,completed,1966,1965,1
One M&T Plaza,Buffalo,steel,21,96,completed,1966,1964,2
Hawthorne House,Chicago,concrete,42,111.86,completed,1966,1965,1
The Plaza on Dewitt,Chicago,concrete,43,120.4,completed,1966,1963,3
Home Insurance Plaza,New York City,steel,44,192.03,completed,1966,1964,2
Pointe 400,St. Louis,concrete,15,65.84,completed,1967,1966,1
Lincoln Tower,Columbus,concrete,24,79.25,completed,1967,1965,2
Morrill Tower,Columbus,concrete,24,79.25,completed,1967,1965,2
KMOV Gateway Tower,St. Louis,concrete,21,79.55,completed,1967,1966,1
The Carlyle,Chicago,concrete,40,118.26,completed,1967,1964,3
East Point,Chicago,concrete,43,119.18,completed,1967,1966,1
One Maritime Plaza,San Francisco,steel,25,121.3,completed,1967,1964,3
World Trade Center New Orleans,New Orleans,concrete,33,124.06,completed,1967,1963,4
Federal Building,Cleveland,steel,31,127.71,completed,1967,1964,3
1130 South Michigan,Chicago,concrete,43,131.37,completed,1967,1966,1
Excelsior House,New York City,concrete,47,147,completed,1967,1964,3
44 Montgomery,San Francisco,steel,43,172.25,completed,1967,1966,1
299 Park Avenue,New York City,steel,42,174.96,completed,1967,1965,2
Jacob K. Javits Federal Building,New York City,steel,41,178.92,completed,1967,1963,4
McDonald Investment Center,Cleveland,steel,23,93.88,completed,1968,1967,1
City National Bank Building,Los Angeles,steel,24,106.07,completed,1968,1966,2
2800 North Lake Shore Drive,Chicago,concrete,43,113.4,completed,1968,1967,1
K & L Gates Center,Pittsburgh,steel,39,155.76,completed,1968,1966,2
Union Bank Plaza,Los Angeles,steel,40,157.28,completed,1968,1965,3
Plaza Tower,New Orleans,steel,45,161.85,completed,1968,1964,4
Lake Point Tower,Chicago,concrete,70,196.45,completed,1968,1965,3
General Motors Building,New York City,steel,50,214.89,completed,1968,1964,4
Franklin Towers,Portland (ME),concrete,16,52.75,completed,1969,1967,2
Vassar Square Condominiums,Ventnor City,concrete,21,66.45,completed,1969,1968,1
