Name,City,Material,Floors,Height,CurrentStatus,CompletedYear,StartYear,YearsToBuild
Omni Hotel CNN Center Expansion,Atlanta,concrete,28,94.28,completed,2003,2002,1
530 North Lake Shore Drive,Chicago,concrete,29,99.87,completed,2003,2001,2
Park Alexandria,Chicago,concrete,32,105.84,completed,2003,2002,1
Post Toscana Apartments,New York City,concrete,31,107.3,completed,2003,2002,1
5 Houston Center,Houston,concrete,27,114.5,completed,2003,2000,3
The Grand Beekman,New York City,concrete,32,115.21,completed,2003,2001,2
The Aurora,New York City,concrete,30,118,completed,2003,2002,1
The Pearson,Chicago,concrete,35,120.47,completed,2003,2001,2
The Mercer,Houston,concrete,30,122.07,completed,2003,2002,1
Ocean Three Condominiums,Sunny Isles Beach,concrete,37,123.4,completed,2003,2002,1
Murano Grande at Portofino,Miami Beach,concrete,37,124.06,completed,2003,2001,2
Skybridge,Chicago,concrete,39,128.17,completed,2003,2000,3
One Sutton Place North,New York City,concrete,41,128.17,completed,2003,2000,3
Marbella Apartments,Jersey City,concrete,40,130.2,completed,2003,2001,2
Ivy Tower,New York City,concrete,41,136.25,completed,2003,2001,2
ABN AMRO Plaza,Chicago,composite,29,138.13,completed,2003,2001,2
717 Texas Avenue,Houston,concrete,34,138.2,completed,2003,2001,2
The Residences at Grand Plaza,Chicago,concrete,39,139.6,completed,2003,2000,3
THEHotel,Las Vegas,concrete,43,147.93,completed,2003,2002,1
Constellation Place,Los Angeles,steel,35,149.5,completed,2003,2001,2
State Street Financial Center,Boston,steel,36,153.32,completed,2003,2000,3
Fourth and Madison Building,Seattle,composite,40,156.06,completed,2003,2000,3
RRI Energy Plaza,Houston,concrete,36,158,completed,2003,2001,2
220 Riverside Boulevard At Trump Place,New York City,concrete,49,165.26,completed,2003,2001,2
The Biltmore,New York City,concrete,51,167.64,completed,2003,2001,2
The Fordham,Chicago,concrete,52,174.81,completed,2003,2001,2
300 Madison Avenue,New York City,steel,38,175.26,completed,2003,2001,2
Citadel Center,Chicago,steel,39,176.84,completed,2003,2000,3
Millennium Centre,Chicago,concrete,58,185.91,completed,2003,2001,2
425 5th Avenue,New York City,concrete,55,188.34,completed,2003,2001,2
Grand Plaza Apartments,Chicago,concrete,57,195.38,completed,2003,2000,3
Random House Tower,New York City,steel,52,208.49,completed,2003,2000,3
Four Seasons Hotel & Tower,Miami,concrete,64,240.41,completed,2003,2000,3
Two River Place,Chicago,concrete,17,66.5,completed,2004,2002,2
Grant Park Tower,Minneapolis,concrete,27,89.61,completed,2004,2002,2
840 North Lake Shore Drive,Chicago,concrete,27,100.18,completed,2004,2001,3
Montebello,Houston,concrete,30,100.58,completed,2004,2002,2
Broadway Plaza,Rochester,concrete,29,104.24,completed,2004,2002,2
The Metropolitan,New York City,concrete,30,106.7,completed,2004,2002,2
Trump International Beach Resort,Sunny Isles Beach,concrete,32,107,completed,2004,2003,1
One City Place,White Plains,concrete,35,107.9,completed,2004,2002,2
1111 South Wabash,Chicago,concrete,34,111.86,completed,2004,2001,3
Omni San Diego Hotel and The Metropolitan,San Diego,concrete,34,114.3,completed,2004,2000,4
Skyline on Brickell,Miami,concrete,34,114.66,completed,2004,2002,2
Austin Hilton Covention Center Hotel,Austin,concrete,31,114.91,completed,2004,2001,3
The Setai Hotel and Residences,Miami Beach,concrete,38,117.5,completed,2004,2003,1
United States Federal Courthouse,Seattle,steel,21,118.87,completed,2004,2001,3
Bellagio Spa Tower,Las Vegas,concrete,33,119.5,completed,2004,2003,1
River View II,Chicago,concrete,32,121.62,completed,2004,2001,3
The Club at Brickell Bay,Miami,concrete,42,125.3,completed,2004,2002,2
Archstone Chelsea,New York City,concrete,36,128.62,completed,2004,2002,2
ICON at South Beach,Miami Beach,concrete,42,128.93,completed,2004,2003,1
VUE at Brickell,Miami,concrete,36,129,completed,2004,2002,2
Buckhead Grand,Atlanta,concrete,38,137.47,completed,2004,2002,2
Las Olas River House I,Fort Lauderdale,concrete,42,137.77,completed,2004,2001,3
480 Washington Boulevard,Jersey City,steel,32,140.5,completed,2004,2001,3
The Marc,New York City,concrete,42,141.56,completed,2004,2002,2
Park Avenue Place,New York City,concrete,38,143.87,completed,2004,2003,1
Turnberry Place III,Las Vegas,concrete,38,145.24,completed,2004,2002,2
Paramount at Buckhead,Atlanta,concrete,40,145.7,completed,2004,2002,2
Espirito Santo Plaza,Miami,concrete,36,148.4,completed,2004,2000,4
33 Arch Street,Boston,steel,33,149.05,completed,2004,2001,3
Akoya Condominiums,Miami Beach,concrete,47,149.96,completed,2004,2002,2
The St. James,Philadelphia,concrete,45,151.84,completed,2004,2001,3
Liberty Plaza,New York City,concrete,45,155.39,completed,2004,2002,2
Frost Bank Tower,Austin,concrete,33,157.2,completed,2004,2001,3
Jade at Brickell Bay,Miami,concrete,49,160.94,completed,2004,2002,2
The Pinnacle,Chicago,concrete,48,163.07,completed,2004,2002,2
Acqualina Ocean Residences,Sunny Isles Beach,concrete,51,167.64,completed,2004,2001,3
55 East Erie,Chicago,concrete,56,197.15,completed,2004,2001,3
Times Square Tower,New York City,steel,47,221.29,completed,2004,2001,3
Time Warner Center North Tower,New York City,concrete/steel,55,228.32,completed,2004,2000,4
Time Warner Center South Tower,New York City,concrete/steel,55,228.32,completed,2004,2000,4
30 Hudson Street,Jersey City,steel,42,238.05,completed,2004,2001,3
Bloomberg Tower,New York City,concrete/steel,54,245.62,completed,2004,2000,4
Tribeca Green,New York City,concrete,24,70.1,completed,2005,2004,1
Museum Pointe,Chicago,concrete,26,88.1,completed,2005,2003,2
Michigan Avenue Tower I,Chicago,concrete,29,95.76,completed,2005,2003,2
The Lancaster,Chicago,concrete,30,98.81,completed,2005,2003,2
Twelve Atlantic Station,Atlanta,concrete,26,102.41,completed,2005,2004,1
Trump Tower at City Center,White Plains,concrete,35,107.9,completed,2005,2003,2
Kilbourn Tower,Milwaukee,concrete,33,115.75,completed,2005,2003,2
The Milan Condominium,New York City,concrete,31,116.26,completed,2005,2003,2
Las Olas Grand,Fort Lauderdale,concrete,38,121,completed,2005,2002,3
Helena,New York City,concrete,37,122.22,completed,2005,2003,2
Carbonell Condominium,Miami,concrete,39,124,completed,2005,2003,2
First Allied Plaza,San Diego,steel,23,125.6,completed,2005,2003,2
One Broadway on Brickell,Miami,concrete,36,126,completed,2005,2003,2
Blue on the Bay,Miami,concrete,36,129.54,completed,2005,2003,2
Fontainebleau Tower Suites,Miami Beach,concrete,36,132.25,completed,2005,2002,3
Cira Centre,Philadelphia,steel,29,133.1,completed,2005,2004,1
The Beach Club Tower 1,Hallandale Beach,concrete,43,134.11,completed,2005,2003,2
One Miami West Tower,Miami,concrete,45,136.86,completed,2005,2003,2
The Shoreham,Chicago,concrete,47,137.16,completed,2005,2003,2
Spire,Atlanta,concrete,28,138,completed,2005,2004,1
400 North LaSalle,Chicago,concrete,45,138.43,completed,2005,2003,2
The Pinnacle Marina Tower,San Diego,concrete,36,138.68,completed,2005,2003,2
One Miami East Tower,Miami,concrete,44,140.21,completed,2005,2003,2
12 Metrotech Center,New York City,steel,32,144.17,completed,2005,2001,4
Brickell on the River North Tower,Miami,concrete,42,146.92,completed,2005,2003,2
St. Regis San Francisco,San Francisco,concrete,42,147.53,completed,2005,2001,4
Hyatt Regency Denver at the Colorado Convention Center,Denver,concrete,37,149,completed,2005,2003,2
2 Gold Street,New York City,concrete,51,165.5,completed,2005,2003,2
Trump Palace,Sunny Isles Beach,concrete,43,167.95,completed,2005,2002,3
One South Dearborn,Chicago,composite,39,173.94,completed,2005,2003,2
Wynn Las Vegas,Las Vegas,concrete,45,187.15,completed,2005,2002,3
The Heritage at Millennium Park,Chicago,concrete,57,192.38,completed,2005,2002,3
Hyatt Center,Chicago,composite,48,207.1,completed,2005,2002,3
111 South Wacker,Chicago,composite,51,207.64,completed,2005,2003,2
River Place on the Park,Chicago,concrete,21,84.1,completed,2006,2005,1
Conrad Indianapolis & Residences,Indianapolis,concrete,23,87.48,completed,2006,2004,2
East Coast Tower I,New York City,concrete,31,91.14,completed,2006,2004,2
Sayan Condominium,Sunny Isles Beach,concrete,30,97.25,completed,2006,2004,2
Grovenor House,Miami,concrete,33,103.9,completed,2006,2004,2
ParkShore Plaza,St. Petersburg (FL),concrete,29,108.2,completed,2006,2004,2
Solaire at the Plaza,Orlando,concrete,30,108.8,completed,2006,2004,2
Left Bank at K Station,Chicago,concrete,36,111.41,completed,2006,2005,1
NeoVertika,Miami,concrete,35,112.5,completed,2006,2004,2
Ocean Palms Phase I,Hollywood,concrete,38,121.92,completed,2006,2003,3
Hilton Grand Vacations Club II,Las Vegas,concrete,38,123.4,completed,2006,2004,2
Museum Tower,Chicago,concrete,38,124.64,completed,2006,2004,2
505 5th Avenue,New York City,concrete,26,125.27,completed,2006,2004,2
Ko'olani,Honolulu,concrete,47,126.8,completed,2006,2004,2
Hokua at 1288 Ala Moana,Honolulu,concrete,40,127.41,completed,2006,2003,3
Panorama Tower I,Las Vegas,concrete,32,128,completed,2006,2004,2
Sky55,Chicago,concrete,40,129.41,completed,2006,2004,2
One Carnegie Hill,New York City,concrete,41,130.5,completed,2006,2004,2
Residence Inn New York Manhattan/Times Square,New York City,concrete,43,133.15,completed,2006,2004,2
The Peninsula,Jacksonville,concrete,36,133.2,completed,2006,2004,2
W Dallas Victory Hotel & Residences,Dallas,concrete,32,133.8,completed,2006,2004,2
Hartford 21,Hartford,steel,36,134.12,completed,2006,2004,2
La Perla Ocean Residences,Sunny Isles Beach,concrete,42,136.25,completed,2006,2004,2
Tower 31,New York City,concrete,41,137.16,completed,2006,2004,2
Palms Fantasy Tower,Las Vegas,concrete,40,139.6,completed,2006,2004,2
325 5th Avenue,New York City,concrete,42,143.56,completed,2006,2004,2
The Signature at MGM Grand Tower I,Las Vegas,concrete,38,144.78,completed,2006,2004,2
The Signature at MGM Grand Tower II,Las Vegas,concrete,38,144.78,completed,2006,2005,1
Turnberry Place IV,Las Vegas,concrete,38,145.24,completed,2006,2004,2
The Beach Club Tower 2,Hallandale Beach,concrete,50,153.93,completed,2006,2004,2
Hearst Tower,New York City,steel,46,181.97,completed,2006,2003,3
Russell Investments Center,Seattle,steel,42,182.18,completed,2006,2004,2
The Orion,New York City,concrete,60,184.1,completed,2006,2004,2
1180 Peachtree,Atlanta,concrete,41,200.16,completed,2006,2003,3
7 World Trade Center,New York City,concrete/steel,49,226.5,completed,2006,2002,4
Spertus Institute of Jewish Studies,Chicago,steel,10,53.35,completed,2007,2006,1
Blue Residential Tower,New York City,concrete,16,55.17,completed,2007,2004,3
San Francisco Federal Building,San Francisco,concrete,18,71.32,completed,2007,2002,5
J.W. Marriott Grand Rapids,Grand Rapids,composite,25,78.1,completed,2007,2005,2
Museum Park Place 1,Chicago,concrete,23,78.9,completed,2007,2005,2
Sherman Plaza,Evanston,concrete,25,84.23,completed,2007,2004,3
Four Seasons Hotel St. Louis,St. Louis,concrete,20,88,completed,2007,2005,2
Chelsea Arts Tower,New York City,concrete,20,89,completed,2007,2005,2
The Ascent at Roebling`s Bridge,Covington,concrete/steel,21,89.36,completed,2007,2006,1
Beacon Tower,New York City,concrete/steel,23,90.52,completed,2007,2004,3
200 Chambers Street,New York City,concrete,29,91.1,completed,2007,2005,2
Prentice Women's Hospital,Chicago,composite,18,96.32,completed,2007,2003,4
TradeMark,Charlotte,concrete,28,99.06,completed,2007,2005,2
The John Ross Tower,Portland,concrete,32,99.06,completed,2007,2005,2
Cosmopolitan,Seattle,concrete,33,100.59,completed,2007,2005,2
Park East Tower,St. Louis,concrete,26,100.66,completed,2007,2005,2
Newport Lofts,Las Vegas,steel,23,101.8,completed,2007,2005,2
The Veneto,New York City,concrete,32,102.1,completed,2007,2006,1
High Point II,Fort Myers,concrete,33,103.63,completed,2007,2005,2
High Point I,Fort Myers,concrete,33,103.94,completed,2007,2004,3
Nine O Nine Kapiolani,Honolulu,concrete,33,105,completed,2007,2005,2
10 West End,New York City,concrete,31,106.68,completed,2007,2005,2
Avenue Southeast First Tower,Miami,concrete,35,111.2,completed,2007,2005,2
Chelsea Landmark,New York City,concrete,36,112.17,completed,2007,2005,2
The Beach Club,Galveston,concrete,27,116.41,completed,2007,2005,2
The Trade Winds,Galveston,concrete,27,116.41,completed,2007,2005,2
Avalon Riverview North,New York City,concrete,39,117.35,completed,2007,2006,1
Ariel East,New York City,concrete,38,120.7,completed,2007,2006,1
Eddie Bauer at Lincoln Square,Bellevue,composite,28,125.58,completed,2007,2000,7
50 Columbus,Jersey City,concrete,36,125.9,completed,2007,2005,2
SkyPoint,Tampa,concrete,32,126.2,completed,2007,2005,2
Brickell on the River South Tower,Miami,concrete,42,128.93,completed,2007,2005,2
1800 Club,Miami,concrete,40,129.05,completed,2007,2004,3
Avenue,Charlotte,concrete,36,129.54,completed,2007,2005,2
The Vue at Lake Eola,Orlando,concrete,35,129.85,completed,2007,2005,2
500 Brickell East Tower,Miami,concrete,42,129.85,completed,2007,2005,2
500 Brickell West Tower,Miami,concrete,42,129.85,completed,2007,2005,2
Turnberry Ocean Colony North Tower,Sunny Isles Beach,concrete,37,131,completed,2007,2003,4
Memorial Hermann Medical Plaza,Houston,concrete,28,131.04,completed,2007,2004,3
Borgata Hotel & Casino,Atlantic City,concrete,42,131.45,completed,2007,2000,7
Loft 2,Miami,concrete,35,131.98,completed,2007,2005,2
Trump Plaza,New Rochelle,concrete,40,132.59,completed,2007,2005,2
Met 1,Miami,concrete,40,134.11,completed,2007,2004,3
The Beach Club Tower 3,Hallandale Beach,concrete,43,134.11,completed,2007,2004,3
University Club Tower,Milwaukee,concrete,36,136,completed,2007,2004,3
Turnberry Towers - East Tower,Las Vegas,concrete,45,138.08,completed,2007,2005,2
Kingsbury Plaza,Chicago,concrete,47,138.84,completed,2007,2005,2
Allure Las Vegas Tower I,Las Vegas,concrete,41,141.96,completed,2007,2005,2
The Carlyle,Minneapolis,concrete,41,142.85,completed,2007,2005,2
The Link,New York City,concrete,43,143.56,completed,2007,2005,2
The Signature at MGM Grand Tower III,Las Vegas,concrete,38,144.78,completed,2007,2005,2
Latitude on the River,Miami,concrete,44,145.19,completed,2007,2004,3
The Regatta,Chicago,concrete,45,146.45,completed,2007,2004,3
Asia,Miami,concrete,36,147.22,completed,2007,2005,2
Twelve Centennial Park Tower I,Atlanta,concrete,39,149.66,completed,2007,2005,2
Avenue Brickell Tower,Miami,concrete,47,150.88,completed,2007,2005,2
Sky Las Vegas,Las Vegas,concrete,45,152.4,completed,2007,2005,2
The Westin Virginia Beach Town Center & Residences,Virginia Beach,concrete,38,154.84,completed,2007,2005,2
The Streeter,Chicago,concrete,50,156.67,completed,2007,2005,2
Atelier,New York City,concrete,46,158.8,completed,2007,2004,3
Plaza on Brickell Tower II,Miami,concrete,48,160,completed,2007,2005,2
Opera Tower,Miami,concrete,56,165.5,completed,2007,2005,2
50 Biscayne,Miami,concrete,55,168.86,completed,2007,2005,2
Ten Museum Park,Miami,concrete,50,178.31,completed,2007,2004,3
Plaza on Brickell Tower I,Miami,concrete,56,185.93,completed,2007,2005,2
The Epic,New York City,concrete,58,187.41,completed,2007,2005,2
Marina Blue,Miami,concrete,57,187.45,completed,2007,2004,3
The Palazzo,Las Vegas,composite,53,195.68,completed,2007,2004,3
1095 Avenue of the Americas,New York City,steel,43,196.44,completed,2007,2006,1
340 on the Park,Chicago,concrete,64,204.9,completed,2007,2005,2
Barclay Tower,New York City,concrete,56,205.06,completed,2007,2005,2
RSA Battle House Tower,Mobile,concrete/steel,35,227.08,completed,2007,2003,4
New York Times Tower,New York City,steel,52,318.77,completed,2007,2004,3
Dwight Building,Chicago,concrete,16,66.8,completed,2008,2007,1
Hilton Garden Inn New York/Chelsea,New York City,concrete,23,72.85,completed,2008,2005,3
The Caledonia,New York City,concrete,24,76.2,completed,2008,2006,2
The Carillon Hotel & Spa South Tower,Miami Beach,concrete,22,78,completed,2008,2004,4
MEi Miami Beach Ocean Front,Miami Beach,concrete,22,79,completed,2008,2006,2
Marquee Michigan Avenue,Chicago,concrete,26,89.1,completed,2008,2006,2
One Northside Piers,New York City,concrete,29,90.53,completed,2008,2006,2
River North Marriott Suites,Chicago,concrete,27,90.68,completed,2008,2006,2
Hotel Ivy + Residences,Minneapolis,concrete,25,91.92,completed,2008,2006,2
The Riverhouse,New York City,concrete,31,92.05,completed,2008,2005,3
550 St. Clair,Chicago,concrete,26,95.1,completed,2008,2006,2
The Ardea,Portland,concrete,30,99.06,completed,2008,2006,2
Windsor on the Lake,Austin,concrete,31,103.33,completed,2008,2007,1
Oasis II,Fort Myers,concrete,32,103.58,completed,2008,2006,2
Ariel West,New York City,concrete,31,103.63,completed,2008,2006,2
Oasis I,Fort Myers,concrete,32,103.63,completed,2008,2006,2
414 Water Street,Baltimore,concrete,33,104.75,completed,2008,2006,2
The Avery,New York City,concrete,30,104.85,completed,2008,2005,3
29 Park Madison,New York City,concrete,34,105.2,completed,2008,2006,2
4 Midtown,Miami,concrete,33,106.7,completed,2008,2005,3
The Infinity I,San Francisco,concrete,35,106.7,completed,2008,2005,3
Sheraton Phoenix Downtown,Phoenix,concrete/steel,32,109.7,completed,2008,2006,2
Echelon at K Station,Chicago,concrete,36,110.7,completed,2008,2006,2
Grand Waikikian,Honolulu,concrete,38,112.17,completed,2008,2006,2
1720 South Michigan,Chicago,concrete,32,112.22,completed,2008,2006,2
The Watermark Waikiki,Honolulu,concrete,37,113.7,completed,2008,2005,3
Capitol Place,Honolulu,concrete,39,113.7,completed,2008,2006,2
1400 Museum Park,Chicago,concrete,34,114.3,completed,2008,2006,2
Avalon on the Sound East,New Rochelle,concrete,39,114.3,completed,2008,2006,2
55 West on the Esplanade,Orlando,concrete,32,114.9,completed,2008,2005,3
505 West 37th Street West Tower,New York City,concrete,34,115,completed,2008,2007,1
Sapphire Tower,San Diego,concrete,32,115.8,completed,2008,2006,2
44 Monroe,Phoenix,concrete,34,115.82,completed,2008,2006,2
Ocean Tower,South Padre Island,concrete,31,116.13,demolished,2008,2006,2
Hilton San Diego Bayfront,San Diego,concrete,32,117.3,completed,2008,2006,2
The Fairbanks at Cityfront Plaza,Chicago,composite,31,117.91,completed,2008,2000,8
The Chandler,Chicago,concrete,36,118.47,completed,2008,2005,3
The Carillon Hotel & Spa North Tower,Miami Beach,concrete,37,121,completed,2008,2006,2
Oro Condominium,New York City,concrete,40,121.92,completed,2008,2006,2
US Bank Tower,Sacramento,steel,25,122.6,completed,2008,2006,2
River House Condominiums,Grand Rapids,concrete,34,123.8,completed,2008,2006,2
MoMo,Chicago,composite,32,125.14,completed,2008,2006,2
Axis on Brickell North Tower,Miami,concrete,40,127.4,completed,2008,2005,3
Axis on Brickell South Tower,Miami,concrete,40,127.4,completed,2008,2005,3
Keola Lai,Honolulu,concrete,42,127.7,completed,2008,2005,3
Panorama Tower II,Las Vegas,concrete,32,128,completed,2008,2005,3
Moana Pacific East Tower,Honolulu,concrete,46,128.53,completed,2008,2004,4
Moana Pacific West Tower,Honolulu,concrete,46,128.53,completed,2008,2005,3
Mortimer B. Zuckerman Research Center,New York City,steel,25,129.24,completed,2008,2002,6
Grand Hyatt San Antonio,San Antonio,concrete,34,129.31,completed,2008,2006,2
The Rushmore,New York City,concrete,41,129.54,completed,2008,2006,2
101 Warren Street,New York City,concrete,32,130.46,completed,2008,2006,2
Turnberry Ocean Colony South Tower,Sunny Isles Beach,concrete,37,131,completed,2008,2006,2
Bellevue Towers One,Bellevue,concrete,42,131.07,completed,2008,2006,2
Fifteen Twenty-One Second Avenue,Seattle,concrete,38,134.11,completed,2008,2007,1
Bellevue Towers Two,Bellevue,concrete,43,137.16,completed,2008,2006,2
600 North Lake Shore Drive - North Tower,Chicago,concrete,41,138.08,completed,2008,2005,3
Turnberry Towers - West Tower,Las Vegas,concrete,45,138.08,completed,2008,2005,3
The Water Club at Borgata,Atlantic City,concrete,39,139.29,completed,2008,2006,2
600 Fairbanks Court,Chicago,concrete,41,139.5,completed,2008,2006,2
Trump Towers I,Sunny Isles Beach,concrete,45,140.5,completed,2008,2005,3
Trump Towers II,Sunny Isles Beach,concrete,45,140.5,completed,2008,2005,3
Trump Towers III,Sunny Isles Beach,concrete,45,140.5,completed,2008,2005,3
Trump Taj Mahal - Chairman Tower,Atlantic City,concrete,41,143.21,completed,2008,2006,2
The Murano,Philadelphia,concrete,42,144.78,completed,2008,2006,2
Electra,San Diego,concrete/steel,43,144.78,completed,2008,2004,4
"The Residences at the Ritz Carlton, Westchester - South Tower",White Plains,concrete,44,147.52,completed,2008,2005,3
555 Mission Street,San Francisco,steel,33,148.44,completed,2008,2007,1
Chelsea Stratus,New York City,concrete,40,149.66,completed,2008,2006,2
50 East Chestnut Street,Chicago,concrete,40,150.73,completed,2008,2005,3
The Platinum,New York City,concrete,43,151.18,completed,2008,2006,2
Parkview West,Chicago,concrete,49,151.64,completed,2008,2006,2
The Tides,Chicago,concrete,51,152.35,completed,2008,2006,2
Viewpoint,Atlanta,concrete,36,152.7,completed,2008,2006,2
Wind,Miami,concrete,41,152.71,completed,2008,2005,3
The Ivy,Miami,concrete,45,156.16,completed,2008,2005,3
The Columbian,Chicago,concrete,47,157.66,completed,2008,2005,3
Palms Place,Las Vegas,concrete,50,157.76,completed,2008,2006,2
Harrah`s Waterfront Tower,Atlantic City,concrete,44,160.02,completed,2008,2006,2
Trump Plaza Residences,Jersey City,concrete,55,162.16,completed,2008,2006,2
RBC Plaza,Raleigh,concrete,32,163.98,completed,2008,2006,2
"Vizcayne, North Tower",Miami,concrete,49,164,completed,2008,2005,3
The Tower at 15 Central Park West,New York City,concrete,35,167.64,completed,2008,2005,3
Trump Royale,Sunny Isles Beach,concrete,43,167.64,completed,2008,2005,3
Quantum on the Bay South Tower,Miami,concrete,51,168.86,completed,2008,2005,3
Jade on the Beach,Sunny Isles Beach,concrete,51,175,completed,2008,2004,4
The Mansion on Peachtree,Atlanta,concrete,42,176.79,completed,2008,2006,2
360 Condominiums,Austin,concrete,45,177.1,completed,2008,2006,2
Icon Brickell North Tower,Miami,concrete,58,178.62,completed,2008,2006,2
Sky House,New York City,concrete,54,179.33,completed,2008,2005,3
One Rincon Hill South Tower,San Francisco,concrete,54,184.41,completed,2008,2006,2
Trump International Hotel & Tower 1,Las Vegas,concrete,64,189.59,completed,2008,2005,3
Infinity at Brickell,Miami,concrete,52,192,completed,2008,2005,3
Encore,Las Vegas,concrete,52,192.33,completed,2008,2006,2
900 Biscayne Bay,Miami,concrete,63,198,completed,2008,2005,3
Sovereign,Atlanta,concrete,48,202.69,completed,2008,2006,2
Comcast Center,Philadelphia,composite,57,296.73,completed,2008,2005,3
Park Lafayette North Tower,Milwaukee,concrete,20,65.84,completed,2009,2007,2
Park Lafayette South Tower,Milwaukee,concrete,20,65.84,completed,2009,2007,2
